주종,주류명,생산국가,용량,도수,특징
위스키,1792 스몰배치,미국,700,46.8,
위스키,고마가타케,일본,700,52,
위스키,고모가타케2020,일본,700,50,
위스키,골드바위스키,미국,750,40,
위스키,골든블루20년,대한민국,450,36.5,
위스키,골든블루22년,영국,450,36.5,
위스키,골든블루다이아몬드17,영국,450,36.5,
위스키,골든블루사피루스12,영국,450,36.5,
위스키,교토위스키 무라사키오비,일본,700,43,
위스키,교토위스키 아카오비,일본,700,40,
위스키,교토위스키 쿠로오비,일본,700,46,
위스키,그레이트 킹 스트리트,영국,700,43,"베이킹 향신료와 셰리와인의 특징들과 함께 입안에 머금었을 때 느껴지는 바디감과 풍부함 그리고 스모키.스트레이트, 물을 타거나 또는 얼음과 함께, 그리고 탄산수와 함께하는 하이볼이나 모든 스타일의 칵테일 등 다양한 스타일로 즐길 수 있습니다."
위스키,그레이트 킹 스트리트,영국,700,43,"베이킹 향신료와 셰리와인의 특징들과 함께 입안에 머금었을 때 느껴지는 바디감과 풍부함 그리고 스모키.스트레이트, 물을 타거나 또는 얼음과 함께, 그리고 탄산수와 함께하는 하이볼이나 모든 스타일의 칵테일 등 다양한 스타일로 즐길 수 있습니다."
위스키,그린자켓 12년,캐나다,450,36.5,
위스키,그린자켓17년,캐나다,450,36.5,
위스키,글렌 스코티아,스코틀랜드,700,46,"Glen Scotia 15 Year Old is an exceptional single malt whisky matured from specially selected casks that deliver the true character of a 15 year old Campbeltown malt whisky. The whisky has been gently matured in finest American oak barrels before bottling. The signature nose has hints of vanilla oak, interwoven with the subtle notes of sea spray and spicy aromatic fruits."
위스키,글렌 알라키10년,영국,700,56.8,글렌알라키 위스키의 가장 큰 특징중의 하나는 연도별로 발매되는 싱글캐스크 제품입니다.하나의 캐스크에서 숙성된 위스키 원액만으로 출시되며 연도에 따라 맛과 향 그리고 도수까지 모두 다른 특성을 가지고 있는 것이 특징입니다.
위스키,글렌 알라키15년,영국,700,46,글렌알라키 위스키의 가장 큰 특징중의 하나는 연도별로 발매되는 싱글캐스크 제품입니다.하나의 캐스크에서 숙성된 위스키 원액만으로 출시되며 연도에 따라 맛과 향 그리고 도수까지 모두 다른 특성을 가지고 있는 것이 특징입니다.
위스키,글렌고인 12년,스코틀랜드,700,43,"글렌고인의 최대 특징은 바로 피트를 사용하지 않는다는 것인데, 보리 건조에서부터 숙성까지 정말 철저하게 사용하지 않는다.피트의 영향을 받지 않은 순수한 몰트 위스키의 맛을 느낄수 있다."
위스키,글렌고인18년,영국,700,43,"글렌고인의 최대 특징은 바로 피트를 사용하지 않는다는 것인데, 보리 건조에서부터 숙성까지 정말 철저하게 사용하지 않는다.피트의 영향을 받지 않은 순수한 몰트 위스키의 맛을 느낄수 있다."
위스키,글렌고인21년,영국,700,43,"글렌고인의 최대 특징은 바로 피트를 사용하지 않는다는 것인데, 보리 건조에서부터 숙성까지 정말 철저하게 사용하지 않는다.피트의 영향을 받지 않은 순수한 몰트 위스키의 맛을 느낄수 있다."
위스키,글렌그란트,영국,700,40,"글렌 그란트의 유명한 James ‘The Major’ Grant가 개발한 라이트한 스타일의 싱글 몰트 위스키. 크리미한 맛과 약한 드라이 터치가 있으며, 피니시에서 견과류 맛을 느낄 수 있다."
위스키,글렌그란트,영국,700,40,"글렌 그란트의 유명한 James ‘The Major’ Grant가 개발한 라이트한 스타일의 싱글 몰트 위스키. 크리미한 맛과 약한 드라이 터치가 있으며, 피니시에서 견과류 맛을 느낄 수 있다."
위스키,글렌그란트 10년,영국,700,43,"위스키를 생산하는 최고의 지역으로는 단연 스코틀랜드의 스페이사이드(Spe yside)를 꼽을 수 있다. 하일랜드 동북쪽에 자리 잡은 스페이사이드는 깨끗한 물과 비옥한 토양, 자연친화적인 주변 환경 등 위스키 생산을 위한 최상의 요건을 갖추고 있어 스코틀랜드 몰트 위스키 증류소의 핵심 지역으로 자리 잡았다. 스코틀랜드의 정원’이라 불리는 스페이사이드에는 170년의 역사를 자랑하는 싱글 몰트 위스키 명가, 글렌 그란트(Glen Grant)가 있다. 글렌 그란트만의 독창적인 맛과 향은 맥아를 건조할 때 피트(이탄)를 태워 훈연하는 과정을 생략해 얻는다. 일반적으로 피트를 사용해 훈연하면 진한 스모키함이 묵직하게 느껴지는데 글렌 그란트는 향긋한 과일향과 상쾌한 맛을 유지하기 위해 이 단계를 생략하는 것. 또한 다른 증류소보다 긴 증류기를 사용하고 직접 개발한 여과기에 2번에 걸친 필터링을 통해 차별화된 위스키 원액을 얻어 목 넘김이 부드럽고 순수한 느낌이 풍부한 최상의 글렌 그란트를 완성한다"
