,당도,바디,산도,타닌
0,1,3,3,3
1,1,3,3,2
2,2,4,3,1
3,1,4,3,3
4,4,2,4,3
5,1,3,3,3
6,1,4,3,1
7,4,2,2,1
8,1,2,3,3
9,2,4,3,1
10,1,4,5,5
11,1,4,4,2
12,1,4,4,2
13,1,4,5,4
14,1,4,3,2
15,1,4,3,2
16,1,4,5,5
17,1,3,4,4
18,1,0,1,1
19,1,3,4,3
20,2,0,2,2
21,2,5,2,2
22,2,4,3,1
23,1,5,3,1
24,1,5,2,2
25,1,3,3,3
26,1,4,2,2
27,1,3,3,1
28,1,4,3,2
29,1,3,3,1
30,1,3,3,4
31,1,5,2,2
32,1,4,3,3
33,4,2,2,1
34,1,4,4,4
35,1,3,4,3
36,1,3,4,3
37,1,3,3,1
38,1,3,4,4
39,1,3,4,3
40,4,2,2,1
41,1,2,4,4
42,1,5,3,2
43,1,3,4,4
44,1,3,3,1
45,1,3,4,3
46,1,5,3,1
47,1,4,3,3
48,1,4,4,4
49,3,2,2,1
50,1,3,4,4
51,1,3,3,1
52,1,4,3,3
53,1,3,4,5
54,1,4,3,2
55,1,3,3,4
56,1,3,4,1
57,1,3,1,1
58,1,3,1,1
59,2,3,3,1
60,1,4,5,5
61,1,3,4,3
62,1,3,5,3
63,1,3,4,4
64,5,1,3,1
65,1,5,2,1
66,1,4,5,4
67,1,4,3,3
68,1,3,3,3
69,1,4,4,4
70,2,4,2,1
71,4,2,2,1
72,1,4,4,2
73,1,3,3,1
74,1,3,4,4
75,1,3,4,4
76,1,3,3,1
77,1,4,3,1
78,5,3,5,1
79,1,4,5,4
80,1,3,4,3
81,1,3,5,4
82,1,3,4,3
83,1,3,4,3
84,1,3,4,4
85,1,3,3,3
86,1,3,4,4
87,1,4,3,1
88,2,3,3,3
89,1,3,4,4
90,1,3,5,4
91,1,3,4,4
92,1,3,4,4
93,4,1,2,1
94,1,3,5,5
95,1,3,4,4
96,4,2,2,1
97,5,2,5,2
98,4,2,3,1
99,1,3,2,1
100,1,3,4,3
101,1,0,4,4
102,1,3,4,4
103,2,3,2,1
104,1,3,4,4
105,1,3,2,1
106,2,2,4,2
107,2,2,3,2
108,1,3,3,1
109,2,4,3,1
110,1,5,3,1
111,1,4,3,3
112,1,5,2,1
113,1,3,3,3
114,1,3,3,3
115,1,2,3,3
116,1,4,4,4
117,4,2,2,1
118,1,4,3,1
119,1,4,4,4
120,1,4,3,1
121,1,4,4,4
122,1,3,5,4
123,4,3,4,1
124,1,3,4,4
125,1,3,5,5
126,1,4,4,3
127,1,3,3,3
128,1,4,3,1
129,1,4,5,4
130,1,4,3,1
131,1,4,5,5
132,1,5,2,1
133,1,4,5,1
134,1,3,4,4
135,1,3,5,4
136,1,4,4,1
