,당도,바디,산도,타닌
1,1,3,3,3
2,1,3,3,2
3,2,4,3,1
4,1,4,3,3
5,4,2,4,3
6,1,3,3,3
7,1,4,3,1
8,4,2,2,1
9,1,2,3,3
10,2,4,3,1
11,1,4,5,5
12,1,4,4,2
13,1,4,4,2
14,1,4,5,4
15,1,4,3,2
16,1,4,3,2
17,1,4,5,5
18,1,3,4,4
19,1,0,1,1
20,1,3,4,3
21,2,0,2,2
22,2,5,2,2
23,2,4,3,1
24,1,5,3,1
25,1,5,2,2
26,1,3,3,3
27,1,4,2,2
28,1,3,3,1
29,1,4,3,2
30,1,3,3,1
31,1,3,3,4
32,1,5,2,2
33,1,4,3,3
34,4,2,2,1
35,1,4,4,4
36,1,3,4,3
37,1,3,4,3
38,1,3,3,1
39,1,3,4,4
40,1,3,4,3
41,4,2,2,1
42,1,2,4,4
43,1,5,3,2
44,1,3,4,4
45,1,3,3,1
46,1,3,4,3
47,1,5,3,1
48,1,4,3,3
49,1,4,4,4
50,3,2,2,1
51,1,3,4,4
52,1,3,3,1
53,1,4,3,3
54,1,3,4,5
55,1,4,3,2
56,1,3,3,4
57,1,3,4,1
58,1,3,1,1
59,1,3,1,1
60,2,3,3,1
61,1,4,5,5
62,1,3,4,3
63,1,3,5,3
64,1,3,4,4
65,5,1,3,1
66,1,5,2,1
67,1,4,5,4
68,1,4,3,3
69,1,3,3,3
70,1,4,4,4
71,2,4,2,1
72,4,2,2,1
73,1,4,4,2
74,1,3,3,1
75,1,3,4,4
76,1,3,4,4
77,1,3,3,1
78,1,4,3,1
79,5,3,5,1
80,1,4,5,4
81,1,3,4,3
82,1,3,5,4
83,1,3,4,3
84,1,3,4,3
85,1,3,4,4
86,1,3,3,3
87,1,3,4,4
88,1,4,3,1
89,2,3,3,3
90,1,3,4,4
91,1,3,5,4
92,1,3,4,4
93,1,3,4,4
94,4,1,2,1
95,1,3,5,5
96,1,3,4,4
97,4,2,2,1
98,5,2,5,2
99,4,2,3,1
100,1,3,2,1
101,1,3,4,3
102,1,0,4,4
103,1,3,4,4
104,2,3,2,1
105,1,3,4,4
106,1,3,2,1
107,2,2,4,2
108,2,2,3,2
109,1,3,3,1
110,2,4,3,1
111,1,5,3,1
112,1,4,3,3
113,1,5,2,1
114,1,3,3,3
115,1,3,3,3
116,1,2,3,3
117,1,4,4,4
118,4,2,2,1
119,1,4,3,1
120,1,4,4,4
121,1,4,3,1
122,1,4,4,4
123,1,3,5,4
