,중분류,상품명,생산국가,상세정보
wine,레드,"GCF, 꼬뜨 드 뵈프",프랑스,"생산자
GCF 그룹 GCF Group
국가/생산지역
프랑스(France) > 서던 프랑스(Southern France) > 랑그독 루씨용(Languedoc Roussillon)
주요품종
시라/쉬라즈 (Syrah/Shiraz) , 마르셀란 (Marselan)
스타일
Languedoc-Roussillon Red
등급
Pays d'Oc IGP
알코올
13~14 %
음용온도
16~18 ℃
추천음식
뵈프 부르기뇽, 안심 찹 스테이크, 로스트 비프 스테이크 등과 잘 어울린다.
수입사
(주)와이넬   "
wine,화이트,"가트, 리슬링",호주,"생산자
가트 와인즈 Gatt Wines
국가/생산지역
호주(Australia) > 사우스 오스트레일리아(South Australia) > 에덴 밸리(Eden Valley)
주요품종
리슬링 (Riesling) 100%
음용온도
10~12 ℃
추천음식
샐러드, 해산물, 치즈 등과 잘 어울린다.
기타정보
-Korea wine challenge 2012 silver medal
-international wine challenge 2013 bronze medal
-james halliday 94 points"
wine,레드,갈로 리빙스톤 콩코드,미국,"생산자
갤로 패밀리 빈야드 Gallo Family Vineyard - E&J Gallo Winery
국가/생산지역
미국(U.S.A)
주요품종
콩코드 (Concord)
음용온도
14~16 ℃
추천음식
소시지, 육포, 떡볶이, 순대, 튀김, 족발, 만두, 자장면 등과 잘 어울린다."
wine,주정강화,글로리아 토니 포트 와인,포르투갈,"생산자
빈센테 파리아 비뉴스 Vincente Faria VInhos
국가/생산지역
포르투갈(Portugal) > 도우루(Douro)
주요품종
틴타 로리즈 (Tinta Roriz) , 투리가 프란카 (Touriga Franca) , 투리가 나시오날 (Touriga Nacional) , 틴타 바로카 (Tinta Barroca) , 틴토 까오 (Tinto Cao)
알코올
20~21 %
음용온도
14~16 ℃
추천음식
리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.
수입사
유니베브   "
wine,레드,"기욤 르탕, 루비 루즈",프랑스,"생산자
기욤 르탕 Guillaume Letang
국가/생산지역
프랑스(France) > 서던 프랑스(Southern France) > 랑그독 루씨용(Languedoc Roussillon) > 꼬뜨 드 루씨용(Côtes de Roussillon)
주요품종
그르나슈 (Grenache)
스타일
Languedoc-Roussillon Red
숙성
프랑스 전통의 오크 통에서 3개월이상 숙성.
알코올
14~15 %
음용온도
16~18 ℃
추천음식
소고기, 스테이크, 불고기, 양꼬치, 족발, 한국음식, 피자, 햄버거 등과 잘 어울린다.
수입사
모노드림   "
wine,화이트,"까브 드 루그니, 마콩 루그니 유진 블랑 샤르도네",프랑스,"생산자
까브 드 루그니 Cave de Lugny
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne) > 마꼬네(Maconnais) > 마꽁(Macon)
주요품종
샤르도네 (Chardonnay) 100%
등급
Mâcon-Lugny AOC(AOP)
알코올
13.5 %
음용온도
10~12 ℃
추천음식
훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다."
wine,화이트,"깐티네 포베로, 모스카토 다스티 '캄포 델 팔리오'",이탈리아,"생산자
깐띠네 포베로 Cantine Povero
국가/생산지역
이탈리아(Italy) > 피에몬테(Piemonte) > 아스티(Asti)
주요품종
모스카토 (Moscato ) 100%
스타일
Italian Asti
알코올
5.5 %
음용온도
6~8 ℃
추천음식
샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.
기타정보
*와인21닷컴 기자들이 선정한 추천 와인 BEST10 모스카토편 선정
수입사
더블유에스통상   "
wine,레드,꼬모 까베르네 소비뇽,칠레,"생산자
운두라가 Undurraga
국가/생산지역
칠레(Chile) > 센트럴 밸리(Central Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon)
알코올
13~14 %
음용온도
16~18 ℃
추천음식
육류, 숙성 치즈, 묵직한 소스를 곁들인 파스타 등과 잘 어울린다.
수입사
신세계엘앤비   "
wine,스파클링,노비볼레 로마냐 스푸만테 비앙코,이탈리아,"생산자
까비로 Caviro sca-Forli
국가/생산지역
이탈리아(Italy) > 에밀리아 로마냐(Emilia-Romagna)
주요품종
트레비아노 (Trebbiano) , 샤르도네 (Chardonnay) , 파모소 (Famoso)
등급
Romagna DOC(DOP)
알코올
11~12 %
음용온도
6~8 ℃
추천음식
식전주 및 가벼운 생선 요리 또는 전채 요리 등과 잘 어울린다.
기타정보
*Decanter WWA: Bronze
*International Wine Challenge: Bronze
수입사
가자주류   "
wine,레드,"다렌버그, 데드암 쉬라즈",호주,"생산자
다렌버그 d'Arenberg
국가/생산지역
호주(Australia) > 사우스 오스트레일리아(South Australia) > 맥라렌 베일(McLaren Vale)
주요품종
시라/쉬라즈 (Syrah/Shiraz) 100%
알코올
14~15 %
음용온도
16~19 ℃
추천음식
진하고 풍부한 소스의 구운고기요리, 양고기 스테이크, 파스타 등과 잘 어울린다.
기타정보
*2014 빈티지: James Suckling 92점, James Halliday 95점, The West Australian 97점
*2011 빈티지: Robert Parker 95점
수입사
금양인터내셔날   "
